textPayload,insertId,resource.type,resource.labels.task_name,resource.labels.job_id,resource.labels.project_id,timestamp,severity,logName,receiveTimestamp,jsonPayload.pathname,jsonPayload.created,jsonPayload.lineno,jsonPayload.message,jsonPayload.levelname,"labels.""compute.googleapis.com/resource_id""","labels.""compute.googleapis.com/zone""","labels.""ml.googleapis.com/job_id/log_area""","labels.""compute.googleapis.com/resource_name""","labels.""ml.googleapis.com/trial_id"""
Job completed successfully.,6y57m9bmr,ml_job,service,wals_ml_train_20190530_034326,my-tf-2019,2019-05-30T03:53:08.338428194Z,INFO,projects/my-tf-2019/logs/ml.googleapis.com%2Fwals_ml_train_20190530_034326,2019-05-30T03:53:09.761290378Z,,,,,,,,,,
,1pvqlw9f3e438k,ml_job,master-replica-0,wals_ml_train_20190530_034326,my-tf-2019,2019-05-30T03:47:54.322351932Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-30T03:47:55.477045850Z,/runcloudml.py,1559188074.322352,959,Task completed successfully.,INFO,9132047019848953705,us-central1-c,root,cmle-training-15449946248941373296,
,1pvqlw9f3e438j,ml_job,master-replica-0,wals_ml_train_20190530_034326,my-tf-2019,2019-05-30T03:47:54.321616888Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-30T03:47:55.477045850Z,/runcloudml.py,1559188074.321617,957,Clean up finished.,INFO,9132047019848953705,us-central1-c,root,cmle-training-15449946248941373296,
,1pvqlw9f3e438i,ml_job,master-replica-0,wals_ml_train_20190530_034326,my-tf-2019,2019-05-30T03:47:54.321048974Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-30T03:47:55.477045850Z,/runcloudml.py,1559188074.321049,954,Module completed; cleaning up.,INFO,9132047019848953705,us-central1-c,root,cmle-training-15449946248941373296,
,1pvqlw9f3e438h,ml_job,master-replica-0,wals_ml_train_20190530_034326,my-tf-2019,2019-05-30T03:47:52.038096904Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-30T03:47:55.477045850Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559188072.038097,48,test RMSE = 1.05,INFO,9132047019848953705,us-central1-c,tensorflow,cmle-training-15449946248941373296,
,1pvqlw9f3e438g,ml_job,master-replica-0,wals_ml_train_20190530_034326,my-tf-2019,2019-05-30T03:47:52.037563085Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-30T03:47:55.477045850Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559188072.037563,47,train RMSE = 0.89,INFO,9132047019848953705,us-central1-c,tensorflow,cmle-training-15449946248941373296,
,1pvqlw9f3e438f,ml_job,master-replica-0,wals_ml_train_20190530_034326,my-tf-2019,2019-05-30T03:47:51.848727941Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-30T03:47:55.477045850Z,/root/.local/lib/python2.7/site-packages/sh.py,1559188071.848728,628,"<Command u'/tools/google-cloud-sdk/bin/gsutil cp -r /tmp/wals_ml_train_20190530_034326/* gs://recommendation-try/jobs/wals_ml_train_20190530_034326/model', pid 659>: process completed",INFO,9132047019848953705,us-central1-c,sh.command,cmle-training-15449946248941373296,
,1pvqlw9f3e438e,ml_job,master-replica-0,wals_ml_train_20190530_034326,my-tf-2019,2019-05-30T03:47:49.192909955Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-30T03:47:55.477045850Z,/root/.local/lib/python2.7/site-packages/sh.py,1559188069.19291,628,"<Command u'/tools/google-cloud-sdk/bin/gsutil cp -r /tmp/wals_ml_train_20190530_034326/* gs://recommendation-try/jobs/wals_ml_train_20190530_034326/model', pid 659>: process started",INFO,9132047019848953705,us-central1-c,sh.command,cmle-training-15449946248941373296,
,1pvqlw9f3e438d,ml_job,master-replica-0,wals_ml_train_20190530_034326,my-tf-2019,2019-05-30T03:47:49.175158977Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-30T03:47:55.477045850Z,/root/.local/lib/python2.7/site-packages/sh.py,1559188069.175159,628,<Command u'/tools/google-cloud-sdk/bin/gsutil cp -r /tmp/wals_ml_train_20190530_034326/* gs://recommendation-try/jobs/wals_ml_train_20190530_034326/model'>: starting process,INFO,9132047019848953705,us-central1-c,sh.command,cmle-training-15449946248941373296,
,1pvqlw9f3e438c,ml_job,master-replica-0,wals_ml_train_20190530_034326,my-tf-2019,2019-05-30T03:47:49.161865949Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-30T03:47:55.477045850Z,/root/.local/lib/python2.7/site-packages/trainer/model.py,1559188069.161866,282,Train Finish: 2019-05-30 03:47:49,INFO,9132047019848953705,us-central1-c,tensorflow,cmle-training-15449946248941373296,
,ofdaumg1r7co05,ml_job,master-replica-0,wals_ml_train_20190530_034326,my-tf-2019,2019-05-30T03:47:46.621588945Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-30T03:47:49.277607053Z,tensorflow/core/common_runtime/gpu/gpu_device.cc,1559188066.621589,975,"Creating TensorFlow device (/gpu:3) -> (device: 3, name: Tesla K80, pci bus id: 0000:00:07.0)",INFO,9132047019848953705,us-central1-c,root,cmle-training-15449946248941373296,
,ofdaumg1r7co04,ml_job,master-replica-0,wals_ml_train_20190530_034326,my-tf-2019,2019-05-30T03:47:46.621398925Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-30T03:47:49.277607053Z,tensorflow/core/common_runtime/gpu/gpu_device.cc,1559188066.621399,975,"Creating TensorFlow device (/gpu:2) -> (device: 2, name: Tesla K80, pci bus id: 0000:00:06.0)",INFO,9132047019848953705,us-central1-c,root,cmle-training-15449946248941373296,
,ofdaumg1r7co03,ml_job,master-replica-0,wals_ml_train_20190530_034326,my-tf-2019,2019-05-30T03:47:46.621227025Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-30T03:47:49.277607053Z,tensorflow/core/common_runtime/gpu/gpu_device.cc,1559188066.621227,975,"Creating TensorFlow device (/gpu:1) -> (device: 1, name: Tesla K80, pci bus id: 0000:00:05.0)",INFO,9132047019848953705,us-central1-c,root,cmle-training-15449946248941373296,
,ofdaumg1r7co02,ml_job,master-replica-0,wals_ml_train_20190530_034326,my-tf-2019,2019-05-30T03:47:46.621027946Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-30T03:47:49.277607053Z,tensorflow/core/common_runtime/gpu/gpu_device.cc,1559188066.621028,975,"Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla K80, pci bus id: 0000:00:04.0)",INFO,9132047019848953705,us-central1-c,root,cmle-training-15449946248941373296,
,ofdaumg1r7co01,ml_job,master-replica-0,wals_ml_train_20190530_034326,my-tf-2019,2019-05-30T03:47:46.620820045Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-30T03:47:49.277607053Z,tensorflow/core/common_runtime/gpu/gpu_device.cc,1559188066.62082,916,"3:   N N N Y ",INFO,9132047019848953705,us-central1-c,root,cmle-training-15449946248941373296,
,ofdaumg1r7co00,ml_job,master-replica-0,wals_ml_train_20190530_034326,my-tf-2019,2019-05-30T03:47:46.620652914Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-30T03:47:49.277607053Z,tensorflow/core/common_runtime/gpu/gpu_device.cc,1559188066.620653,916,"2:   Y Y Y N ",INFO,9132047019848953705,us-central1-c,root,cmle-training-15449946248941373296,
,ofdaumg1r7cnzz,ml_job,master-replica-0,wals_ml_train_20190530_034326,my-tf-2019,2019-05-30T03:47:46.620474100Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-30T03:47:49.277607053Z,tensorflow/core/common_runtime/gpu/gpu_device.cc,1559188066.620474,916,"1:   Y Y Y N ",INFO,9132047019848953705,us-central1-c,root,cmle-training-15449946248941373296,
,ofdaumg1r7cnzy,ml_job,master-replica-0,wals_ml_train_20190530_034326,my-tf-2019,2019-05-30T03:47:46.620302915Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-30T03:47:49.277607053Z,tensorflow/core/common_runtime/gpu/gpu_device.cc,1559188066.620303,916,"0:   Y Y Y N ",INFO,9132047019848953705,us-central1-c,root,cmle-training-15449946248941373296,
,ofdaumg1r7cnzx,ml_job,master-replica-0,wals_ml_train_20190530_034326,my-tf-2019,2019-05-30T03:47:46.620122909Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-30T03:47:49.277607053Z,tensorflow/core/common_runtime/gpu/gpu_device.cc,1559188066.620123,906,"DMA: 0 1 2 3 ",INFO,9132047019848953705,us-central1-c,root,cmle-training-15449946248941373296,
,ofdaumg1r7cnzw,ml_job,master-replica-0,wals_ml_train_20190530_034326,my-tf-2019,2019-05-30T03:47:46.619929075Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-30T03:47:49.277607053Z,tensorflow/core/common_runtime/gpu/gpu_device.cc,1559188066.619929,777,Peer access not supported between device ordinals 3 and 2,INFO,9132047019848953705,us-central1-c,root,cmle-training-15449946248941373296,
,ofdaumg1r7cnzv,ml_job,master-replica-0,wals_ml_train_20190530_034326,my-tf-2019,2019-05-30T03:47:46.619730949Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-30T03:47:49.277607053Z,tensorflow/core/common_runtime/gpu/gpu_device.cc,1559188066.619731,777,Peer access not supported between device ordinals 3 and 1,INFO,9132047019848953705,us-central1-c,root,cmle-training-15449946248941373296,
,ofdaumg1r7cnzu,ml_job,master-replica-0,wals_ml_train_20190530_034326,my-tf-2019,2019-05-30T03:47:46.619561910Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-30T03:47:49.277607053Z,tensorflow/core/common_runtime/gpu/gpu_device.cc,1559188066.619562,777,Peer access not supported between device ordinals 3 and 0,INFO,9132047019848953705,us-central1-c,root,cmle-training-15449946248941373296,
,ofdaumg1r7cnzt,ml_job,master-replica-0,wals_ml_train_20190530_034326,my-tf-2019,2019-05-30T03:47:46.619379997Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-30T03:47:49.277607053Z,tensorflow/core/common_runtime/gpu/gpu_device.cc,1559188066.61938,777,Peer access not supported between device ordinals 2 and 3,INFO,9132047019848953705,us-central1-c,root,cmle-training-15449946248941373296,
,ofdaumg1r7cnzs,ml_job,master-replica-0,wals_ml_train_20190530_034326,my-tf-2019,2019-05-30T03:47:46.619199037Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-30T03:47:49.277607053Z,tensorflow/core/common_runtime/gpu/gpu_device.cc,1559188066.619199,777,Peer access not supported between device ordinals 1 and 3,INFO,9132047019848953705,us-central1-c,root,cmle-training-15449946248941373296,
,ofdaumg1r7cnzr,ml_job,master-replica-0,wals_ml_train_20190530_034326,my-tf-2019,2019-05-30T03:47:46.618941068Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-30T03:47:49.277607053Z,tensorflow/core/common_runtime/gpu/gpu_device.cc,1559188066.618941,777,Peer access not supported between device ordinals 0 and 3,INFO,9132047019848953705,us-central1-c,root,cmle-training-15449946248941373296,
,ofdaumg1r7cnzq,ml_job,master-replica-0,wals_ml_train_20190530_034326,my-tf-2019,2019-05-30T03:47:46.618741989Z,ERROR,projects/my-tf-2019/logs/master-replica-0,2019-05-30T03:47:49.277607053Z,/runcloudml.py,1559188066.618742,325,Free memory: 11.10GiB,ERROR,9132047019848953705,us-central1-c,root,cmle-training-15449946248941373296,
,ofdaumg1r7cnzp,ml_job,master-replica-0,wals_ml_train_20190530_034326,my-tf-2019,2019-05-30T03:47:46.618581056Z,ERROR,projects/my-tf-2019/logs/master-replica-0,2019-05-30T03:47:49.277607053Z,/runcloudml.py,1559188066.618581,325,Total memory: 11.17GiB,ERROR,9132047019848953705,us-central1-c,root,cmle-training-15449946248941373296,
,ofdaumg1r7cnzo,ml_job,master-replica-0,wals_ml_train_20190530_034326,my-tf-2019,2019-05-30T03:47:46.618256092Z,ERROR,projects/my-tf-2019/logs/master-replica-0,2019-05-30T03:47:49.277607053Z,/runcloudml.py,1559188066.618256,325,pciBusID 0000:00:07.0,ERROR,9132047019848953705,us-central1-c,root,cmle-training-15449946248941373296,
